"NBa7we src","d4r55","RfnDt","eaLgGf","hCCjke","rsqaWe","wiI7pd","w8nwRe","fontLabelMedium","Tap5If","dSlJg","Hzvxle","pkWtMe","dSlJg 2","znYl0","uEubGf","bC3Nkc"
"https://lh3.googleusercontent.com/a-/ALV-UjXmLdYUmpmf_kh-v6_Sq0TaUsQOkB3XxRsktOOylUEnU34=w54-h54-p-rp-mo-ba2-br100","Rohan Pramanik","Local Guide · 14 reviews · 8 photos","","","a year ago","Best college and campus to experience for any student planning for a technical career.","","0:08","","","","","","Share","",""
"https://lh3.googleusercontent.com/a/ACg8ocK5pwnoDXFg-rTDEU_E0iFmt30TX6cQPYBJmc4Uy_Un=w54-h54-p-rp-mo-ba3-br100","Ritesh J M","Local Guide · 35 reviews · 66 photos","","","6 years ago","Most opted college for any aspiring graduate. Located in heart of Mumbai, it gives the best of education in a very close to environment feeling. Powai lake share its most boundary with the campus.","","","","","Like","4","","Share","",""
"https://lh3.googleusercontent.com/a-/ALV-UjX-0RMR0L0PJt-QRpTOlqR9WpWItf9VZDip0gIctkM2mN4=w54-h54-p-rp-mo-ba5-br100","Vinay Diddi","Local Guide · 287 reviews · 422 photos","","","7 years ago","Best place in the world for the education...
Also organised some great events as tech fest....","","","+2","","Like","3","","Share","",""
"https://lh3.googleusercontent.com/a-/ALV-UjXiJkUy1WrvefCIs1hVsvpxHtcXChrnIJ8p4Glbe9h8Lkn2=w54-h54-p-rp-mo-ba6-br100","Pranay Karmakar","Local Guide · 352 reviews · 4,203 photos","","","8 months ago","One of the best institutions
Campus is also green","","","+2","","","","","Share","",""
"https://lh3.googleusercontent.com/a/ACg8ocKZFRtUN6gQta8I8AaHT25vZKoHy-nGqmEWJbCPApIP0Us=w54-h54-p-rp-mo-ba4-br100","SHUBHAM KUMAR","Local Guide · 44 reviews · 342 photos","","","3 years ago","The institute is recognised worldwide as a leader in the field of engineering education and research. Reputed for the outstanding calibre of students graduating from its undergraduate and postgraduate programmes, the institute attracts the …","More","","+5","","Like","16","","Share","",""
"https://lh3.googleusercontent.com/a-/ALV-UjX_qXJFCZMV9X4SCoJ2PGXDo7l7Msu6VWz3YlIoGsgNVNo=w54-h54-p-rp-mo-ba2-br100","Yogesh Paradkar","Local Guide · 7 reviews","","","a year ago","The Indian Institute of Technology Bombay (IIT Bombay) is one of the premier engineering and technology institutes in India, and it definitely lives up to its reputation. With world-class infrastructure, state-of-the-art laboratories, and a …","More","","","","","","","Share","",""
"https://lh3.googleusercontent.com/a-/ALV-UjWihAaGB4P6F8LpQFYCVYtSDRV6bhtj6e07zwvZrg2ual3n=w54-h54-p-rp-mo-br100","Anil Kumar","11 reviews","","","a year ago","It was awesome experience

The playgrounds are well maintained and world class volleyball courts, badminton …","More","","","","","","","Share","",""
"https://lh3.googleusercontent.com/a-/ALV-UjXryhHMURo0KoBUvC19w58M7V9p6IlZPp4mqUJoPsvxmqND=w54-h54-p-rp-mo-ba4-br100","Siddhant Kapadne","Local Guide · 49 reviews · 365 photos","","","6 years ago","Best institute for degree in technology and science field. Well known for its faculty and infrastructure. Overhere Environment makes Education and Education is an environment itself.","","","","","Like","2","","Share","",""
"https://lh3.googleusercontent.com/a-/ALV-UjXH7BQwYiZ8IK2JQLc9iPYVFbtJD_5PpHahmm7S0CXXlz8=w54-h54-p-rp-mo-ba5-br100","Nitish Kumar","Local Guide · 251 reviews · 273 photos","","","3 months ago","It was good experience to visit iitb. I met there with good professors and students.","","","","","","","","Share","",""
"https://lh3.googleusercontent.com/a-/ALV-UjVhzNa1sQMFtOioIVPZmRPMn6KyM-ahN9kuNzPJN_LrBuQ=w54-h54-p-rp-mo-ba3-br100","Krishna Agarwal","Local Guide · 28 reviews · 20 photos","","","4 months ago","Got a chance to visit my dream college! Preparing for jee will be a student of it in future","","","","","Like","3","","Share","",""
"https://lh3.googleusercontent.com/a/ACg8ocI2teb3vvuwUhStk6jKxIaQb-HXHLoti7FSdE3uTc5I=w54-h54-p-rp-mo-ba3-br100","Mrunal Vichare","Local Guide · 5 reviews · 72 photos","","","9 months ago","IIT Bombay Techfest 2022 Main Gate decor!","","","","","Like","1","","Share","",""
"https://lh3.googleusercontent.com/a-/ALV-UjWreobwIxMtJAq1YJt9iNECvmUERbADYq_XoFMqIT6xRqm8=w54-h54-p-rp-mo-ba5-br100","Gul Shan","Local Guide · 81 reviews · 973 photos","","","4 months ago","💚 …","","","+3","","Like","1","","Share","",""
"https://lh3.googleusercontent.com/a-/ALV-UjU5g3la82ZJmNkf1ltZjwDReX8RHGvQiZ8Zi0wOYpr3t8M=w54-h54-p-rp-mo-ba3-br100","ANIK CHAKRABORTY","Local Guide · 38 reviews · 43 photos","","","a year ago","Such a delightful place, the campus is so beautiful and ideal for study purposes. Too much of trees in the roadsides make the whole campus very calm and peaceful. The playgrounds are well maintained and world class TT rooms, volleyball …","More","","","","Like","3","","Share","",""
"https://lh3.googleusercontent.com/a-/ALV-UjWAumPALPPaL2kKmgoUqK3APzbI-lA6jzuc8Os0_OD-HsM0=w54-h54-p-rp-mo-ba2-br100","Hinge Akhil","Local Guide · 5 reviews","","","a week ago","It's nice to see and beautiful institute","","","","","","","","Share","",""
"https://lh3.googleusercontent.com/a-/ALV-UjXrOPYHBsp7798JKGqYKMjoS5eEBGWNUM2P7FdFMd-XxUE=w54-h54-p-rp-mo-br100","Akshay Baviskar","1 review","","","4 months ago","This is worst place for masters and PhD
You will become mad and may need to get admitted in mental asylum in few months after joining...","","","","","Like","9","","Share","",""
"https://lh3.googleusercontent.com/a-/ALV-UjUeuIW-bW9A2xM49qIg-qtVeuMwTbIB0lZHBgTRrYioRxhs=w54-h54-p-rp-mo-ba5-br100","Sri","Local Guide · 55 reviews · 1,713 photos","","","6 years ago","i've been here for mood indigo 2016 and it was an amazing experience.","","","+11","","Like","2","","Share","",""
"https://lh3.googleusercontent.com/a-/ALV-UjW9DJd6wQcO8FLTgkQ6JPg4oeNdg5u1v730KJM3wC4fUOk=w54-h54-p-rp-mo-ba3-br100","Aman Sharma","Local Guide · 36 reviews","","","a year ago","College Infrastructure
My college has all necessary infrastructure. We have facilities for any sport you can think of. We have a separate building dedicated for library purposes. …","More","","","","","","","Share","",""
"https://lh3.googleusercontent.com/a-/ALV-UjVJRsby-FQ_TLbVHqB0AS9zkFWqosJyv6ajEwKZEzPfbllp=w54-h54-p-rp-mo-ba5-br100","tanmaya Shrivastav","Local Guide · 67 reviews · 1,039 photos","","","5 months ago","Best way you can get is from 6th floor c wing hostel 13","","","","","","","","Share","",""
"https://lh3.googleusercontent.com/a-/ALV-UjXfBN0fPGrNCgUWutmNZ80gDE5Zl2k770b0R8o6uw8V6XrG=w54-h54-p-rp-mo-ba4-br100","Sanghamitra jena","Local Guide · 152 reviews · 257 photos","","","4 months ago","Very good with a neat and clean atmosphere..professors are highly qualified and experienced","","","","","","","","Share","",""
"https://lh3.googleusercontent.com/a-/ALV-UjWnnBEag1NqpxsllM64llYExT8TUQ5QUJuyIEHJ1n1c9so3=w54-h54-p-rp-mo-ba3-br100","Rahul Srinivasan","Local Guide · 48 reviews · 2 photos","","","a year ago","Good institution with all the required aminities. Good place to learn and grow. Actually the faculties here design your path and guide you in a right way. A good institution with good coaching staffs and they all are technically sound.","","","","","","","","Share","",""
"https://lh3.googleusercontent.com/a-/ALV-UjVoseUTM5R8FBf0Dtdl2KkDVqRGV1TjSUqKMTQ7LCm4m3c=w54-h54-p-rp-mo-ba5-br100","Shahid Ahmad","Local Guide · 193 reviews · 351 photos","","","a year ago","Excellent and huge campus.
Infra is too good.
Attended techfest 2022, it was great experience to learn new things and see the …","More","","","","Like","1","","Share","",""
"https://lh3.googleusercontent.com/a-/ALV-UjUO_5cFNjpsAvpfuyMfvs-vnDwaQ9onL4-ZO63gXAgMTlg=w54-h54-p-rp-mo-ba5-br100","kuldeep parasaniya","Local Guide · 111 reviews · 1,192 photos","","","6 years ago","One of the best institute... i have ever seen","","","+7","","Like","1","","Share","",""
"https://lh3.googleusercontent.com/a-/ALV-UjWC4AISspcyjlaoRUqUFqkeVWKsGiC_zv9tVJi3PEQS7kw=w54-h54-p-rp-mo-ba3-br100","Patel Harsh","Local Guide · 15 reviews · 21 photos","","","a week ago","“teachers, best campus, best atmosphere, best hostels, best food etc...""","","","","","","","","Share","",""
"https://lh3.googleusercontent.com/a-/ALV-UjXLDPB4WS6yS2mU79_yAR0Yzenzx8MnWRcox1FEsajg8PDl=w54-h54-p-rp-mo-ba5-br100","Ayush Pokharna","Local Guide · 142 reviews · 416 photos","","","6 years ago","Tech fest rocks always this time 29-31 December It is the annual science and technology festival of Indian Institute of Technology Bombay. It also refers to the independent body of students who organize this event along with many other …","More","","","","","","","Share","",""
"https://lh3.googleusercontent.com/a-/ALV-UjWPvxEhRfHui7cBofKq0ssXOa70aDwtPxjwLYSgFlQsnrI=w54-h54-p-rp-mo-ba4-br100","Aakash Kapoor","Local Guide · 75 reviews · 60 photos","","","a year ago","Ah, insti, where do I begin? A place where dreams come to fruition and new avenues arise, a place where you’re accepted, and a place for you to grow and find yourself. IITB might lack some of the vastness of other larger colleges but there …","More","","","","","","","Share","",""
"https://lh3.googleusercontent.com/a-/ALV-UjVe_MMFWmvXIv4Q8L2b6bnuN5MmBRtSkYj_CHJbodAVmys=w54-h54-p-rp-mo-ba3-br100","Soykot Kumar","Local Guide · 30 reviews · 48 photos","","","a year ago","Incredable,fantastic area of this campus.","","","+3","","","","","Share","",""
"https://lh3.googleusercontent.com/a-/ALV-UjXOsFWZsn6NwBVle_k_XJhmB8pK6ZOFL6Ik15Nqf15IjUw=w54-h54-p-rp-mo-br100","Abhijit Sonawane","2 reviews","","","a year ago","One of the finest engineering college in INDIA.
Management is good.
It is mostly famous for research and techfest. …","More","","","","Like","1","","Share","",""
"https://lh3.googleusercontent.com/a-/ALV-UjWQqz70JbjSOKwWovpPKOhwDmPW_bp3Kuuzhb5eSxzhZtw=w54-h54-p-rp-mo-ba2-br100","sumit arya","Local Guide · 16 reviews","","","a year ago","I got the amazing experience in IIT Mumbai ,it's lovely plase there is so many facility & games, sports arena etc. this is one of the best enginnering institute of India..Top most reputed institute..There are many trees within this campus","","","","","","","","Share","",""
"https://lh3.googleusercontent.com/a-/ALV-UjUbPXGF95PGuDfUVgPKdvY1gXxo4ZvTkVLn9HVPH2Ng0Q=w54-h54-p-rp-mo-ba6-br100","Jayanta Ghosh","Local Guide · 129 reviews · 2,165 photos","","","11 months ago","The Indian Institute of Technology Bombay (IIT Bombay) is a public research university and technical institute in Powai, Mumbai, Maharashtra, India. IIT Bombay is ranked among the most prestigious academic institutions in India, and has …","More","","","","Like","1","","Share","",""
"https://lh3.googleusercontent.com/a-/ALV-UjU2iOEL1RudOeNm2P6OzBHuJTVQYCsiioyJwEhPRu69Y9s=w54-h54-p-rp-mo-ba4-br100","Anindya Das","Local Guide · 68 reviews · 217 photos","","","a year ago","Currently I've admitted in one of the prestigious institute in India. The campus is very beautiful and green. The hostel Life is great here. Apart from academics the institute gives so many opportunities to make connections with people.","","","","","Like","3","","Share","",""
"https://lh3.googleusercontent.com/a-/ALV-UjUBjcF6LOecV0jXmKNgJx2NLwzwrKEIthnTs205HPm32Q=w54-h54-p-rp-mo-ba6-br100","Dr Rahmani Naveed","Local Guide · 355 reviews · 1,167 photos","","","a year ago","One of the reputed & prestigious institution in India","","","+4","","Like","1","","Share","",""
"https://lh3.googleusercontent.com/a-/ALV-UjWcs19rOGcL_N0x-H4YDUWxL-XP5WHYVczSMvi61JBtvg=w54-h54-p-rp-mo-br100","Sandip Bhoir","203 reviews","","","a year ago","Indian Institute of Technology Bombay, is a public technical and research university located in Powai, Mumbai, India. It was founded in 1958 and is one of the oldest and most prestigious engineering colleges in India. …","More","","","","Like","2","","Share","",""
"https://lh3.googleusercontent.com/a-/ALV-UjWSSa93_zYPqlDpeT5rsbAP2ZMKiW_8A7Og2OfmTkEKsaY=w54-h54-p-rp-mo-ba6-br100","VELPULA SAI KRISHNA (KRISHNA)","Local Guide · 219 reviews · 447 photos","","","11 months ago","Hare krishna.....
Nice college. ..
Many of my friends are there to study... …","More","","","","Like","1","","Share","",""
"https://lh3.googleusercontent.com/a-/ALV-UjXxvXhYLh8WTPx2hmVXVIiUlQhH74TtlOZz-mlqhvPRc4M=w54-h54-p-rp-mo-br100","Indranil Mukherjee","10 reviews · 5 photos","","","5 months ago","Every good place to study studying here is best experience I ever had.","","","","","","","","Share","",""
"https://lh3.googleusercontent.com/a/ACg8ocKb0hQndnVe5lhrfUSj-APp5hEd7yT9tNeE9vbGnKwN=w54-h54-p-rp-mo-ba4-br100","Diksha Dube","Local Guide · 25 reviews · 147 photos","","","a year ago","Top most institute of engineering....There are many trees within campus also lake is there where you can sit and enjoy the beauty of nature and chill with friends","","","","","","","","Share","",""
"https://lh3.googleusercontent.com/a-/ALV-UjUCtWdm0h7TMefyhjSwPW68RVOxldTqk3GVWkV4yDDlFr10=w54-h54-p-rp-mo-ba6-br100","Incredible India","Local Guide · 325 reviews · 2,141 photos","","","2 years ago","One of the best technical Institute of india","","0:59","+23","","Like","14","","Share","",""
"https://lh3.googleusercontent.com/a-/ALV-UjX4mTTncXhvyautgF9eSQoiEX6pHGDVMpmVhDq24Bxvvp-n=w54-h54-p-rp-mo-ba4-br100","Arunima Hari","Local Guide · 53 reviews · 200 photos","","","8 months ago","I attended a seminar there. The campus is wide and they have  good lab facilities also cafeteria and restaurants are available within the campus","","","","","","","","Share","",""
"https://lh3.googleusercontent.com/a-/ALV-UjXkitvXekPqE5c65MauhBugWGl-wZp9Sw039Irn6uFi8_A=w54-h54-p-rp-mo-ba5-br100","Vikas P","Local Guide · 344 reviews · 487 photos","","","3 months ago","One of the premium engineering college institutes based at Powai Mumbai...............","","","","","","","","Share","",""
"https://lh3.googleusercontent.com/a/ACg8ocKOYjzKW0NpURPE1M6BZ6MeoZoxEk_QlF-oYwWPxAkk=w54-h54-p-rp-mo-ba4-br100","NarayanaRao Gedela","Local Guide · 45 reviews","","","3 months ago","Top engineering institute in india with huge campus","","","","","","","","Share","",""
"https://lh3.googleusercontent.com/a/ACg8ocIKPXrv6ROup8yHtp9O_KNGgMIbb0ms19yNTfZCaI9H4w=w54-h54-p-rp-mo-br100","snehal dhomse","7 reviews","","","a year ago","Prestigious Technical Institution of India.
Best teachers, best campus, best atmosphere, best hostels, best food etc... Everything is best here. …","More","","","","Like","1","","Share","",""
"https://lh3.googleusercontent.com/a/ACg8ocIvamp-PX8qVJYhzsATeHLoTcgrUbthEGzjeU-mVDQ=w54-h54-p-rp-mo-br100","Sanjay Singh","4 reviews","","","a year ago","A dream institute for all aspiring engineers.
Nice campus lined with trees and lake. Plenary of opportunity to make one’s personality.","","","","","","","","Share","",""
"https://lh3.googleusercontent.com/a-/ALV-UjV8bexW3pxac8DGR5HwKowUJQmuyi-3D4jMKKAw5Xif0Q=w54-h54-p-rp-mo-ba3-br100","Shivam","Local Guide · 54 reviews · 3 photos","","","4 months ago","Vibrant institute in the Lap of nature known for its technical excellence.","","","","","Like","2","","Share","",""
